Tag Type: PinPoint Beacon-75,,,,,
Tag ID: 44017,,,,,
Firmware Version: V8.06,,,,,
,,,,,
GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/27/2016 7:00,31.3151121,-92.6525828,24,1.4,6
1/27/2016 8:00,31.3150914,-92.6526267,8,1.6,5
1/27/2016 9:00,31.3151351,-92.6526062,9,2.2,4
1/27/2016 10:00,31.3151212,-92.6525943,39,1.2,7
1/27/2016 11:00,31.3151091,-92.6525833,9,1.8,5
1/27/2016 12:00,31.3151057,-92.6525814,9,3.4,4
1/27/2016 13:00,31.3071351,-92.6894145,40,2.4,5
1/27/2016 14:00,31.3072397,-92.6890922,9,4.4,5
1/27/2016 15:00,31.3072644,-92.6885172,20,11.6,4
1/27/2016 16:00,31.3072642,-92.6892509,41,2.4,4
1/27/2016 17:00,31.3072504,-92.6889323,10,2.8,4
1/27/2016 18:00,31.3072308,-92.6892304,39,2.8,4
1/27/2016 19:00,31.3072029,-92.6893148,41,5.6,3
1/27/2016 20:00,31.3072013,-92.6892774,37,1,7
1/27/2016 21:00,31.3072232,-92.6892555,8,1,7
1/27/2016 22:00,31.3072407,-92.6892848,39,1.4,5
1/27/2016 23:00,31.3071424,-92.6893247,8,4,4
1/28/2016 0:00,31.3072448,-92.6893289,15,5.4,4
1/28/2016 1:00,31.306913,-92.6894114,38,2.6,5
1/28/2016 2:00,31.3070005,-92.6894093,8,2.6,4
1/28/2016 3:00,31.3068774,-92.6894335,10,4.2,4
1/28/2016 4:00,31.3069105,-92.689306,40,1.2,7
1/28/2016 5:00,31.3069708,-92.6895041,9,1.8,5
1/28/2016 6:00,31.3070313,-92.6894578,9,3.4,5
1/28/2016 7:01,31.307054,-92.6892709,68,2.8,4
1/28/2016 8:00,31.3070264,-92.6892599,39,1,7
1/28/2016 9:00,31.3069219,-92.689274,4,2.6,6
1/28/2016 10:00,31.3069808,-92.6892769,41,1.2,6
1/28/2016 11:00,31.3070639,-92.6893124,4,1.6,6
1/28/2016 11:59,31.3070675,-92.6893662,2,3.2,4
1/28/2016 13:00,31.3070259,-92.6891571,48,2.2,4
1/28/2016 14:00,31.3070214,-92.6891461,21,3.4,4
1/28/2016 15:00,31.3071027,-92.689204,9,9.6,4
1/28/2016 16:00,31.3070675,-92.6892181,40,3.2,4
1/28/2016 17:00,31.3070626,-92.6886998,19,8.2,4
1/28/2016 18:00,31.3071014,-92.6892305,39,1,7
1/28/2016 19:00,31.3070573,-92.6892599,38,2.2,6
1/28/2016 20:00,31.3070013,-92.6889846,8,3.2,6
1/28/2016 21:00,31.3070921,-92.6888719,9,2.4,5
1/28/2016 22:00,31.3068483,-92.6892525,47,1.4,3
1/28/2016 23:01,31.3071185,-92.6892809,70,1.8,3
1/29/2016 0:00,31.3071923,-92.6892433,40,4.2,4
1/29/2016 1:00,31.3070015,-92.6893794,39,2,6
1/29/2016 2:00,31.3069507,-92.6893555,3,1.6,5
1/29/2016 3:00,31.3068804,-92.6892251,5,4.2,5
1/29/2016 4:00,31.3069345,-92.6893619,41,0.8,8
1/29/2016 5:00,31.3069234,-92.6893963,5,2,6
1/29/2016 6:00,31.30705,-92.6894468,4,4.8,6
1/29/2016 7:00,31.3068811,-92.689353,40,1.4,6
1/29/2016 8:00,31.3068738,-92.6892333,5,1.6,5
1/29/2016 9:00,31.3072,-92.6894391,8,2.2,4
1/29/2016 10:00,31.306985,-92.689334,40,1.4,6
1/29/2016 11:00,31.3071727,-92.6894419,8,3.2,4
1/29/2016 12:00,31.3069307,-92.6892717,37,2,5
1/29/2016 13:00,31.3072278,-92.6891451,38,2.6,5
1/29/2016 14:00,31.3069065,-92.688905,9,3.4,5
1/29/2016 15:00,31.3073098,-92.6900298,9,7.8,4
1/29/2016 16:00,31.306964,-92.6892161,45,2.4,4
1/29/2016 17:00,31.3073671,-92.6893588,29,5.6,4
1/29/2016 18:00,31.307106,-92.6892674,32,3,3
1/29/2016 19:00,31.3071355,-92.6895279,39,2.4,5
1/29/2016 20:00,31.3069813,-92.6888013,5,3.2,5
1/29/2016 21:00,31.3073637,-92.6891845,25,1.2,5
1/29/2016 22:00,31.3071698,-92.6891981,41,1.2,5
1/29/2016 23:00,31.3070142,-92.689236,4,2,4
1/30/2016 0:00,31.3070549,-92.6892774,29,6.4,3
1/30/2016 1:00,31.3067766,-92.6893809,38,3,4
1/30/2016 2:00,31.3067873,-92.6894783,7,6.2,4
1/30/2016 3:00,31.3068035,-92.6894589,38,0.8,8
1/30/2016 4:00,31.3067925,-92.6894214,39,1.4,7
1/30/2016 5:00,31.3068138,-92.6894794,8,1.2,6
1/30/2016 6:00,31.3068457,-92.6894399,9,1.2,6
1/30/2016 7:00,31.3067181,-92.6897112,41,9.6,3
1/30/2016 8:00,31.3066678,-92.6907195,35,11.8,3
1/30/2016 9:00,31.3068739,-92.6895043,39,1.4,6
1/30/2016 10:00,31.3067855,-92.6894514,44,3,4
1/30/2016 11:00,31.3068403,-92.6894952,17,2,4
1/30/2016 12:00,31.3067178,-92.6894386,39,2.2,6
