Site,Band #,Day/Night,Area (ha),Veg (Y/N),
DERI,171368606,Day 1,0.0353554,Y,
DERI,171368606,Day 2,0.14213,Y,
DERI,171368606,Day 3,0.11205,Y,
DERI,171368606,Day 4,0.024356,Y,
DERI,171368606,Night 1,N/A,,
DERI,171368606,Night 2,0.003025,N,
DERI,171368606,Night 3,0.003613,N,
DERI,171368606,Night 4,0.037388,Y,
DERI,171368611,Day 1,0.107740646,Y,
DERI,171368611,Day 2,0.084476666,Y,
DERI,171368611,Day 3,0.172617543,Y,
DERI,171368611,Night 1,5.556059,N,
DERI,171368611,Night 2,0.061576,Y,
DERI,171368611,Night 3,0.368455,N,
DERI,171368616,Day 1,0.059101,Y,
DERI,171368616,Day 2,0.18626,Y,
DERI,171368616,Day 3,0.06658,Y,
DERI,171368616,Night 1,0.023121,N,
DERI,171368616,Night 2,0.035335,Y,
DERI,171368616,Night 3,0.475039,N,
DERI,171368616,Night 4,0.087415,N,
DERI,171368610,Day 1,0.34901,Y,
DERI,171368610,Day 2,0.045149,Y,
DERI,171368610,Day 3,0.24781,Y,
DERI,171368610,Night 1,0.369,N,
DERI,171368610,Night 2,0.007682,N,
DERI,171368610,Night 3,0.038504,N,
DERI,171368600,Day 1,0.000930975,Y,
DERI,171368600,Day 2,0.15798447,Y,
DERI,171368600,Day 3,0.117398811,Y,
DERI,171368600,Day 4,0.019588522,Y,
DERI,171368600,Night 1,0.000428,N,
DERI,171368600,Night 2,0.071841,N,
DERI,171368600,Night 3,0.7883,Y,(few pts)
DERI,171368600,Night 4,0.054883,N,
DERI,171368602,Day 1,0.143315005,Y,
DERI,171368602,Day 2,0.030845179,Y,
DERI,171368602,Day 3,0.139138252,Y,
DERI,171368602,Day 4,0.028276218,Y,
DERI,171368602,Day 5,0.022692477,Y,
DERI,171368602,Day 6,0.019898298,Y,
DERI,171368602,Day 7,0.029614994,Y,
DERI,171368602,Day 8,0.591602918,Y,
DERI,171368602,Day 9,0.040472484,Y,
DERI,171368602,Day 10,0.120443914,Y,
DERI,171368602,Day 11,0.033094964,Y,
DERI,171368602,Day 12,0.088074189,Y,
DERI,171368602,Day 13,N/A,Y,
DERI,171368602,Day 14,0.068216448,Y,
DERI,171368602,Day 15,0.377654906,Y,
DERI,171368602,Day 16,0.084347867,Y,
DERI,171368602,Day 17,0.013793443,Y,
DERI,171368602,Day 18,0.036544042,Y,
DERI,171368602,Night 1,N/A,,
DERI,171368602,Night 2,0.063834,N,flight?
DERI,171368602,Night 3,0.001853,N,
DERI,171368602,Night 4,0.052173,Y,
DERI,171368602,Night 5,0.037839,Y,
DERI,171368602,Night 6,0.002071,N,
DERI,171368602,Night 7,0.028055,Y,
DERI,171368602,Night 8,0.086349,N,
DERI,171368602,Night 9,3.365837,N,night we pushed bird to move
DERI,171368602,Night 10,0.015988,Y,
DERI,171368602,Night 11,0.010509,Y,
DERI,171368602,Night 12,0.100136,N,
DERI,171368602,Night 13,0.053447,Y,
DERI,171368602,Night 14,0.01904,Y,
DERI,171368602,Night 15,0.225342,Y,
DERI,171368602,Night 16,0.026318,Y,
DERI,171368602,Night 17,0.024932,Y,
DERI,171368602,Night 18,0.017824,Y,
BOYC,157382985,Day 1,0.026764708,N,
BOYC,157382985,Day 2,0.061616201,N,
BOYC,157382985,Day 3,0.192725677,N,
BOYC,157382985,Night 1,0.000062,N,
BOYC,157382985,Night 2,0.03019,N,
BOYC,157382985,Night 3,0.028353,N,
BOYC,157382985,Night 4,0.030685,N,
