"","Date_utilized","mean_BasalArea","sd_Basal_Area","mean_canopy_percentage","sd_canopy_percentage","mean_Litter","sd_Litter","mean_Herbac","sd_Herbac","mean_Shrub","sd_Shrub","mean_Tree","sd_Tree","mean_Bare_ground","sd_Bare_ground","mean_Other","sd_Other","mean_Density","sd_Density"
"1","1/10/2016",2.26,1.64883251079321,69.1171171171171,25.3815117476599,91.2,23.1744267254673,0.133333333333333,1.15470053837925,0,0,0,0,0,0,0,0,44.5333333333333,37.6633678695796
"2","1/11/2016",2,1.18424618403026,67.5675675675676,24.1072863164013,94.1666666666667,16.1515938451856,0.238095238095238,1.54303349962092,0,0,0,0,0,0,0,0,57.6190476190476,36.5633111998916
"3","1/12/2016",3.15789473684211,2.00729663131334,78.6628733997155,21.145177388169,100,0,0,0,0,0,0,0,0,0,0,0,49.0789473684211,39.880120067625
"4","1/13/2016",3.05263157894737,2.14666884602701,78.6628733997155,21.6758841782283,100,0,0,0,0,0,0,0,0,0,0,0,60.2631578947368,40.3362149180873
"5","1/14/2016",3.30434782608696,1.8199596051635,82.8437132784959,16.167180070639,100,0,0,0,0,0,0,0,0,0,0,0,42.2826086956522,40.8497318581821
"6","1/15/2016",2.58074534161491,2.54085407707601,63.2533154272285,36.3616217808095,74.9068322981366,42.5164381801669,0.124223602484472,1.11106797707856,0,0,1.24223602484472,11.1106797707856,0,0,0,0,41.7546583850932,42.6567373786231
"7","1/16/2016",2.61538461538462,1.65110685485642,74.5322245322245,20.5714287944018,100,0,0,0,0,0,0,0,0,0,0,0,55.8653846153846,41.1518062039342
"8","1/17/2016",2.41509433962264,1.91586455945081,62.8250892401836,34.2643805988283,82.4528301886792,32.3832613681203,3.0188679245283,9.52424147199324,0,0,1.88679245283019,13.7360563948689,12.6415094339623,26.8651148830187,0,0,29.4339622641509,35.0365245872417
"9","1/18/2016",2.32352941176471,1.4082137457269,66.2957074721781,22.6147363104179,79.4117647058823,35.5852520073669,8.97058823529412,25.5182469404977,0,0,0,0,11.6176470588235,25.0369602011523,0,0,25.7352941176471,32.3424468476442
"10","1/19/2016",2.19148936170213,1.52712144490642,64.8648648648649,26.0090302422635,77.2340425531915,35.1674335305917,6.27659574468085,18.1918545170031,0,0,0.212765957446809,1.45864991497895,16.2765957446809,28.7316687325869,0,0,24.3085106382979,33.365165574601
"11","1/21/2016",2.78787878787879,1.65373773157913,78.3783783783784,20.649603770184,98.3333333333333,9.57427107756338,0.303030303030303,1.74077655955698,0,0,0,0,1.36363636363636,7.8334945180064,0,0,45.1515151515151,42.0422935953496
"12","1/22/2016",3.3,2.50705426764508,66.4127764127764,29.1767408112907,81.4090909090909,32.4329358745273,3.36363636363636,12.7450132523405,0.227272727272727,2.38365647311398,1.45454545454545,10.6518175764233,12.6363636363636,26.7738497890592,0,0,25.0909090909091,32.2990031528925
"13","1/23/2016",2.2972972972973,1.39173881778764,66.9101533966399,27.2394460671626,85.1351351351351,29.5213314233794,9.86486486486486,27.5249000020004,0,0,0,0,5,12.3603308118261,0,0,26.4189189189189,32.9801104862868
"14","1/24/2016",2.32,1.18039541397505,69.945945945946,20.1244000647088,88.4,27.6028380183391,9.4,27.6254713383621,0,0,0,0,2.2,5.78791845139511,0,0,32.4,34.7122096674931
"15","1/25/2016",2.02702702702703,1.40409097692118,59.4594594594595,31.0320804498195,79.5945945945946,34.0216103376952,3.78378378378378,11.0808521912931,0,0,0,0,16.6216216216216,30.4606771568337,0,0,26.4189189189189,33.7244787278538
"16","1/26/2016",4.39423076923077,2.05940074812411,62.6039501039501,22.2428167284525,93.125,18.237743590207,3.55769230769231,7.46100142043067,0.0480769230769231,0.49029033784546,0,0,0,0,0,0,26.6105769230769,32.3003920090109
"17","1/27/2016",5.81132075471698,13.3388625448833,59.3574706782254,29.3060064468866,84.5849056603774,33.6454557237127,3.58490566037736,12.6101820310539,0,0,2.16981132075472,13.8504871464683,4.05660377358491,16.1142735275517,0,0,43.5377358490566,35.8865532263457
"18","1/28/2016",4.71724137931034,8.21136022724671,70.1397949673812,27.3615391789284,87.0896551724138,30.0596437754682,2.41379310344828,9.98442273333855,0.137931034482759,1.6609095970748,1.51724137931034,11.7603993272833,5.17241379310345,19.5648298497536,1.51724137931034,10.7581386816085,43.9655172413793,34.5137178430354
"19","1/29/2016",4.4390243902439,2.10414805191798,85.1680949241925,13.9014841110304,81.8292682926829,33.2369541617643,1.82926829268293,6.86987059202861,0,0,0,0,22.9268292682927,38.1768190423865,0,0,47.6829268292683,38.4073163761739
"20","1/30/2016",4.16666666666667,2.31096943081144,83.6711711711712,13.583348733909,95.8333333333333,18.3958092265997,0,0,0,0,0,0,15.4166666666667,34.1326270873494,0,0,43.3333333333333,36.7990036096994
"21","1/8/2016",4,1.9560385876873,83.6711711711712,17.8118096374347,98.75,6.12372435695795,0,0,0,0,0,0,0,0,0,0,69.375,37.671708332589
"22","1/9/2016",3.375,1.84452506821478,77.3648648648649,16.4323233217637,96.4285714285714,18.7256335179708,0,0,0,0,0,0,0,0,0,0,54.7321428571429,38.749423958852
